report_month,report_year,report_quarter,system,users_total,transactions_total,transaction_value_jod,user_jordanian_count,user_non_jordanian_count,user_male_count,user_female_count,user_age_under_30_count,user_age_31_50_count,user_age_51_plus_count,customer_individual_count,customer_legal_entity_count,wallet_individual_count,wallet_commercial_count,user_existing_count,user_new_count,tx_purchases_count,tx_money_transfers_count,tx_cash_out_count,tx_cash_in_count,value_purchases_jod,value_money_transfers_jod,value_cash_out_jod,value_cash_in_jod,on_us_money_transfer_count,off_us_money_transfer_count,on_us_money_transfer_value_jod,off_us_money_transfer_value_jod,billers_total,services_total,ef_cash_payment_count,ef_digital_payment_count,ef_cash_payment_value_jod,ef_digital_payment_value_jod,ach_jod_transaction_count,ach_usd_transaction_count,ach_usd_transaction_value,ach_eur_transaction_count,ach_eur_transaction_value,ach_gbp_transaction_count,ach_gbp_transaction_value,returned_cheque_count,returned_cheque_value_jod,returned_cheque_count_rate_pct,returned_cheque_value_rate_pct,activity_level
2023-10,2023,Q4,eFAWATEERcom,3970000,5230000,1079000000,0,0,0,0,0,0,0,0,0,0,0,3930000,42000,0,0,0,0,0,0,0,0,0,0,0,0,494,1631,1100000,4120000,196500000,882800000,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-11,2023,Q4,ACH,0,894000,695000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889000,4704,32000000,303,2500000,28,150000,0,0,0,0,Low Activity
2023-11,2023,Q4,CliQ,1130000,3590000,563000000,1090000,35600,723000,385000,453000,490000,172000,1100000,14900,0,0,0,0,414300,3200000,0,0,92300000,470800000,0,0,620000,1840000,78000000,329000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-11,2023,Q4,ECCU,0,567000,3200000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18300,130000000,3.2,4.06,Normal Activity
2023-11,2023,Q4,JoMoPay,2130000,2760000,305000000,1880000,251000,1100000,1000000,769000,965000,390000,0,0,2120000,6265,0,0,114800,2400000,141000,100000,3950000,258210000,24960000,18260000,930000,830000,73100000,63600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-11,2023,Q4,eFAWATEERcom,4000000,4570000,864000000,0,0,0,0,0,0,0,0,0,0,0,3970000,32000,0,0,0,0,0,0,0,0,0,0,0,0,502,1671,900000,3670000,141200000,723200000,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-12,2023,Q4,ACH,0,920000,732000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915000,5088,34000000,336,3200000,31,220000,0,0,0,0,Normal Activity
2023-12,2023,Q4,CliQ,1180000,4060000,634000000,1140000,37500,752000,405000,473000,512000,182000,1170000,16220,0,0,0,0,473400,3590000,0,0,101700000,532100000,0,0,700000,2080000,88000000,375000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-12,2023,Q4,ECCU,0,577000,4440000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21800,164000000,3.8,3.69,High Activity
2023-12,2023,Q4,JoMoPay,2160000,3080000,333000000,1910000,255000,1130000,1020000,781000,977000,397000,0,0,2150000,6337,0,0,124900,2700000,150700,100000,4400000,284400000,25900000,18700000,990000,960000,77400000,72200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-12,2023,Q4,eFAWATEERcom,4100000,5030000,937000000,0,0,0,0,0,0,0,0,0,0,0,4000000,91600,0,0,0,0,0,0,0,0,0,0,0,0,496,1718,980000,4050000,156600000,780300000,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2024-01,2024,Q1,ACH,0,915000,710000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909000,5714,33700000,289,2500000,36,270000,0,0,0,0,Low Activity
2024-01,2024,Q1,CliQ,1240000,4490000,694000000,1200000,39700,785000,426000,493000,535000,191000,1220000,17420,0,0,0,0,520300,3970000,0,0,107600000,586600000,0,0,760000,2240000,98300000,407800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2024-01,2024,Q1,ECCU,0,537000,3350000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18700,143000000,3.5,4.27,Normal Activity
2024-01,2024,Q1,JoMoPay,2190000,3500000,360000000,1930000,258000,1150000,1030000,792000,989000,402000,0,0,2180000,6386,0,0,158400,3100000,163900,114100,8800000,302800000,27000000,21400000,1210000,1050000,87100000,75900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2024-01,2024,Q1,eFAWATEERcom,4150000,5260000,1147000000,0,0,0,0,0,0,0,0,0,0,0,4090000,49000,0,0,0,0,0,0,0,0,0,0,0,0,505,1743,1040000,4220000,194300000,952900000,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
